"Nombres","Metas","Ventas","Sueldo_Base","comision","Sueldo_Bruto","%Ventas_s/total","Bool_Metas"
"Aidan",6108197,2682423,90000,53648.46,143648.46,0.005,TRUE
"Azalia",5693171,9005278,90000,180105.56,270105.56,0.017,FALSE
"Richard",3033308,8096086,90000,161921.72,251921.72,0.015,FALSE
"Tanner",4828183,6148046,90000,122960.92,212960.92,0.011,FALSE
"Gil",7694041,1294232,90000,25884.64,115884.64,0.002,TRUE
"Lila",7283873,3421939,90000,68438.78,158438.78,0.006,TRUE
"Baker",5930103,9147965,90000,182959.3,272959.3,0.017,FALSE
"Ivy",7297453,2077125,90000,41542.5,131542.5,0.004,TRUE
"Claire",4341732,5122093,90000,102441.86,192441.86,0.009,FALSE
"Solomon",6066770,8020548,90000,160410.96,250410.96,0.015,FALSE
"Kadeem",6440476,1661670,90000,33233.4,123233.4,0.003,TRUE
"Marshall",3954312,9855539,90000,197110.78,287110.78,0.018,FALSE
"Megan",5294090,1762230,90000,35244.6,125244.6,0.003,TRUE
"Jesse",8228727,4741569,90000,94831.38,184831.38,0.009,TRUE
"Hilel",3630217,7447312,90000,148946.24,238946.24,0.014,FALSE
"Henry",6809627,9020520,90000,180410.4,270410.4,0.017,FALSE
"Maggie",2482900,9005958,90000,180119.16,270119.16,0.017,FALSE
"Kimberly",2335251,5208460,90000,104169.2,194169.2,0.01,FALSE
"Miranda",6021646,2269214,90000,45384.28,135384.28,0.004,TRUE
"Nolan",9302486,4673967,90000,93479.34,183479.34,0.009,TRUE
"Ciaran",9176011,2010358,90000,40207.16,130207.16,0.004,TRUE
"Alvin",4185591,1737506,90000,34750.12,124750.12,0.003,TRUE
"Quyn",7505506,7799061,90000,155981.22,245981.22,0.014,FALSE
"Kiayada",3880432,3622775,90000,72455.5,162455.5,0.007,TRUE
"Tyler",6287417,4127047,90000,82540.94,172540.94,0.008,TRUE
"Erica",6849193,7692357,90000,153847.14,243847.14,0.014,FALSE
"Evelyn",7725718,9442623,90000,188852.46,278852.46,0.017,FALSE
"Melyssa",6064778,3097312,90000,61946.24,151946.24,0.006,TRUE
"Athena",4972185,9758764,90000,195175.28,285175.28,0.018,FALSE
"Chiquita",7477132,6688238,90000,133764.76,223764.76,0.012,TRUE
"Tarik",5087976,1049718,90000,20994.36,110994.36,0.002,TRUE
"Driscoll",7734370,8720638,90000,174412.76,264412.76,0.016,FALSE
"Colin",2779894,9428962,90000,188579.24,278579.24,0.017,FALSE
"Haviva",9745716,6851012,90000,137020.24,227020.24,0.013,TRUE
"Perry",9311348,2443716,90000,48874.32,138874.32,0.005,TRUE
"Darius",8722830,2020205,90000,40404.1,130404.1,0.004,TRUE
"Gareth",8182539,4508928,90000,90178.56,180178.56,0.008,TRUE
"Daphne",5135369,5047370,90000,100947.4,190947.4,0.009,TRUE
"Joel",4990271,5763295,90000,115265.9,205265.9,0.011,FALSE
"Sarah",8230958,6042950,90000,120859,210859,0.011,TRUE
"Alfonso",8250825,4397916,90000,87958.32,177958.32,0.008,TRUE
"Allistair",3225171,7323838,90000,146476.76,236476.76,0.014,FALSE
"Kaye",5085163,4602585,90000,92051.7,182051.7,0.009,TRUE
"Lee",6174439,1381621,90000,27632.42,117632.42,0.003,TRUE
"Sylvester",3916336,6223499,90000,124469.98,214469.98,0.012,FALSE
"Tara",3713044,5497787,90000,109955.74,199955.74,0.01,FALSE
"Axel",6813587,3586123,90000,71722.46,161722.46,0.007,TRUE
"Price",7916611,7491336,90000,149826.72,239826.72,0.014,TRUE
"Brenna",2010468,7193970,90000,143879.4,233879.4,0.013,FALSE
"Jennifer",3018224,7374040,90000,147480.8,237480.8,0.014,FALSE
"Basia",6786736,6771505,90000,135430.1,225430.1,0.013,TRUE
"Neil",4218115,3399567,90000,67991.34,157991.34,0.006,TRUE
"Brennan",4285981,4343305,90000,86866.1,176866.1,0.008,FALSE
"Ferdinand",8883883,1880631,90000,37612.62,127612.62,0.003,TRUE
"Hilary",2142531,5486496,90000,109729.92,199729.92,0.01,FALSE
"Len",3573479,5535162,90000,110703.24,200703.24,0.01,FALSE
"Janna",2203287,9832821,90000,196656.42,286656.42,0.018,FALSE
"Keane",3899372,9084323,90000,181686.46,271686.46,0.017,FALSE
"Raven",5714128,1767624,90000,35352.48,125352.48,0.003,TRUE
"Iliana",4544328,3553746,90000,71074.92,161074.92,0.007,TRUE
